URI	Related URI	According to	Description
https://usaybia.net/person/1258	https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D8%AD%D8%A7%D9%82_%D8%A8%D9%86_%D8%AD%D9%86%D9%8A%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1258	https://viaf.org/viaf/81962417	https://usaybia.net	is probably the same as
https://usaybia.net/person/1258	https://dx.doi.org/10.1163/1573-3912_ei3_COM_32555	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1258	http://syriaca.org/person/1000	https://usaybia.net	is probably the same as
https://usaybia.net/person/1262	https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D8%AD%D8%A7%D9%82_%D8%A8%D9%86_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A8%D9%86_%D9%86%D8%B3%D8%B7%D8%A7%D8%B3	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1263	https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D8%AD%D8%A7%D9%82_%D8%A8%D9%86_%D8%B9%D9%85%D8%B1%D8%A7%D9%86	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1263	https://viaf.org/viaf/37314630	https://usaybia.net	is probably the same as
https://usaybia.net/person/1267	https://onomasticon.irht.cnrs.fr/en/entry/id/50089	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1272	https://ar.wikipedia.org/wiki/%D8%A5%D8%B3%D8%AD%D8%A7%D9%82_%D8%A8%D9%86_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86_%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1272	https://viaf.org/viaf/34580662	https://usaybia.net	is probably the same as
https://usaybia.net/person/1272	https://dx.doi.org/10.1163/9789004206106_eifo_SIM_3617	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1272	https://plato.stanford.edu/archives/sum2018/entries/israeli/	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1285	https://onomasticon.irht.cnrs.fr/en/entry/id/4123	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1286	https://onomasticon.irht.cnrs.fr/en/entry/id/4118	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1287	https://onomasticon.irht.cnrs.fr/en/entry/id/4154	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1287	https://onomasticon.irht.cnrs.fr/en/entry/id/50093	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1287	https://ar.wikipedia.org/wiki/%D8%A3%D8%B3%D8%B7%D9%81%D8%A7%D9%86_%D8%A8%D9%86_%D8%A8%D8%A7%D8%B3%D9%8A%D9%84	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1287	https://viaf.org/viaf/78147423130144881912	https://usaybia.net	is probably the same as
https://usaybia.net/person/1287	https://dx.doi.org/10.1163/1573-3912_islam_SIM_3678	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1302	https://ar.wikipedia.org/wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D8%A7%D9%84%D8%B5%D8%A7%D8%AF%D9%82	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1302	https://viaf.org/viaf/100648969	https://usaybia.net	is probably the same as
https://usaybia.net/person/1316	https://onomasticon.irht.cnrs.fr/en/entry/id/251059	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1316	https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D8%A7%D9%84_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%AD%D8%B1%D8%B3%D8%AA%D8%A7%D9%86%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1318	https://onomasticon.irht.cnrs.fr/en/entry/id/20498	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1318	https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D8%A8%D9%8A	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/132	https://onomasticon.irht.cnrs.fr/en/entry/id/4199	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1336	https://onomasticon.irht.cnrs.fr/en/entry/id/4128	https://usaybia.net	is the primary entity described by
https://usaybia.net/person/1337	https://onomasticon.irht.cnrs.fr/en/entry/id/4018	https://usaybia.net	is the primary entity described by
